"","text"
"1","ditanbah duduk tunggu kereta"
"2"," mushola toilet dijaga kebersihannya duduk ruang tunggu calon penumpang terpaksa duduk lantai "
"3","fasilitas difabel diperhatikan "
"4","disediakan parkir khusus kendaraan rapih parkir"
"5"," tingkatkan nyaman "
"6"," fasilitas toilet dibersihkan karna kotor toilet terkadang pengguna nyaman tercium aroma sedap toilet "
"7","do best"
"8"," ditingkatkan kenyamanan penumpang"
"9","kapasitas kursi menunggu kedatangan kereta ditambahi pengunjung nyaman tdk berdiri "
"10"," dimaksimalkan"
"11","tingkatkan kebersihan pelayanan konsumen"
"12"," pelayanan pembatalan tiket rescedhule online manual loket "
"13","kebersihan tingkatkan"
"14","kebersihan tingkatkan"
"15"," kurangnya menunggu untuj calon penumpang wifi menunggu penumpang jenuh "
"16","banyakin bangku nunggu ga ngampar"
"17"," duduk yg sediakan yg duduk lesehan mengganggu yg jalan "
"18","trmpat duduk colokan listrikpun "
"19"," duduk ruang tunggu perbanyak"
"20"," puas"
"21","puas "
"22","tambahan fasilitas duduk "
"23"," tingkatkan kebersihannya"
"24","perbanyak fasilitas kapasitas penumpang ka ekonomi"
"25"," akses jalan parkiran "
"26","kebersihan dijaga "
"27"," diperluas karna lempuyangan dikunjungi"
"28"," fasilitasnya kamr mandi dijaga kebersihnny gr pengguna nyaman memakainya"
"29"," ditinggkatkan kenyaman kebersihan disana bersih dibeberapa sampah terimakasih "
"30"," "
"31"," disediakan bnyk kursi fasilitas dimanfaatkan sembar pengguna jasa kereta api menunggu"
"32","tolong sediakan toilet pengantar penumpang"
"33"," berkualitas "
"34"," wifinya"
"35"," cepat"
"36"," dijaga kebersihan ruang tunggu diperluas"
"37"," "
"38","tambahin charger corner tambahin tv"
"39"," banyam toilet"
"40"," sediakan loket ka perjalanan "
"41"," rela rela kehabisan nomor antrian"
"42","sakitt "
"43"," loket perbanyak "
"44"," ditingkatkan pelayanannya "
"45","harap disediakan toilet diluar "
"46","ditambah duduknya"
"47","mushola diperbesar kursi ruang tunggu ditambah"
"48"," duduk penumpang diperbanyak"
"49"," parkir ditaruh makan bahu jalan bikin macet"
"50","kebersihan fasilitas dibersihkan pengunjung nyaman"
"51"," "
"52"," fasilitas tolong diperhatikan kebersihannya pas musim ujan pengunjung yg alas kaki kotor petugas kebersihan yg stay membersihkan pengunjung nyaman "
